"id","unequal","endowment","payoff","payoff_norm_half_endowment","payoff_norm_equal_payoff","payoff_norm_equal_contribution","contribution","contribution_norm_half_endowment","contribution_norm_equal_payoff","contribution_norm_equal_contribution"
"244","1","60","30","1.0","1.5","0.75","30","1.0","0.75","1.5"
"245","1","20","8","0.8","0.4","2.2","12","1.2","2.8","0.6"
"246","1","50","24","0.96","1.2","0.8","26","1.04","0.8666666666666667","1.3"
"247","1","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"248","0","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"249","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"250","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"251","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"252","1","20","10","1.0","0.5","2.5","10","1.0","2.5","0.5"
"253","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"254","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"255","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"256","1","30","0","0.0","0.0","0.0","30","2.0","3.0","1.5"
"257","1","50","28","1.12","1.4","0.9333333333333333","22","0.88","0.7333333333333333","1.1"
"258","1","60","44","1.4666666666666666","2.2","1.1","16","0.5333333333333333","0.4","0.8"
"259","1","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"260","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"261","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"262","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"263","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"264","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"265","1","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"267","1","60","36","1.2","1.8","0.9","24","0.8","0.6","1.2"
"268","1","50","26","1.04","1.3","0.8666666666666667","24","0.96","0.8","1.2"
"269","1","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"270","1","30","10","0.6666666666666666","0.5","1.0","20","1.3333333333333333","2.0","1.0"
"271","1","20","12","1.2","0.6","2.8","8","0.8","2.2","0.4"
"272","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"273","0","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"274","0","40","8","0.4","0.4","0.4","32","1.6","1.6","1.6"
"275","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"276","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"277","0","40","30","1.5","1.5","1.5","10","0.5","0.5","0.5"
"278","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"279","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"280","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"281","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"282","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"283","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"284","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"285","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"286","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"287","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
"288","0","40","26","1.3","1.3","1.3","14","0.7","0.7","0.7"
"289","1","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"290","0","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"291","1","50","20","0.8","1.0","0.6666666666666666","30","1.2","1.0","1.5"
"292","1","60","36","1.2","1.8","0.9","24","0.8","0.6","1.2"
"293","1","30","6","0.4","0.3","0.6","24","1.6","2.4","1.2"
"294","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"295","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"296","1","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"297","0","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"298","0","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"299","0","40","24","1.2","1.2","1.2","16","0.8","0.8","0.8"
"300","0","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"301","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"302","1","50","22","0.88","1.1","0.7333333333333333","28","1.12","0.9333333333333333","1.4"
"303","1","40","12","0.6","0.6","0.6","28","1.4","1.4","1.4"
"304","1","20","20","2.0","1.0","4.0","0","0.0","1.0","0.0"
"305","1","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"306","1","30","20","1.3333333333333333","1.0","2.0","10","0.6666666666666666","1.0","0.5"
"307","1","60","24","0.8","1.2","0.6","36","1.2","0.9","1.8"
"308","1","60","34","1.1333333333333333","1.7","0.85","26","0.8666666666666667","0.65","1.3"
"309","1","50","24","0.96","1.2","0.8","26","1.04","0.8666666666666667","1.3"
"310","1","30","12","0.8","0.6","1.2","18","1.2","1.8","0.9"
"311","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"312","1","40","16","0.8","0.8","0.8","24","1.2","1.2","1.2"
"313","1","40","28","1.4","1.4","1.4","12","0.6","0.6","0.6"
"314","1","60","36","1.2","1.8","0.9","24","0.8","0.6","1.2"
"315","1","30","26","1.7333333333333334","1.3","2.6","4","0.26666666666666666","0.4","0.2"
"316","1","20","0","0.0","0.0","1.0","20","2.0","4.0","1.0"
"317","1","50","28","1.12","1.4","0.9333333333333333","22","0.88","0.7333333333333333","1.1"
"318","1","40","10","0.5","0.5","0.5","30","1.5","1.5","1.5"
"319","1","40","14","0.7","0.7","0.7","26","1.3","1.3","1.3"
"320","0","40","20","1.0","1.0","1.0","20","1.0","1.0","1.0"
"321","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"322","0","40","25","1.25","1.25","1.25","15","0.75","0.75","0.75"
"323","0","40","22","1.1","1.1","1.1","18","0.9","0.9","0.9"
"324","0","40","17","0.85","0.85","0.85","23","1.15","1.15","1.15"
"325","0","40","18","0.9","0.9","0.9","22","1.1","1.1","1.1"
